# KIDID,MasterID,F,Ferr,Q,Qerr,eta,etaerr,NEP,NEPerr
7,100,376.100610,0.003485,277.228561,2.023267,0.007938,0.002266,4.813548e-16,3.484663e-17
8,102,363.192985,0.002943,301.310359,2.080960,0.006668,0.000643,5.473986e-16,3.118317e-17
9,101,369.295732,0.007029,212.280560,2.427062,0.009858,0.000857,5.817819e-16,3.449485e-17
10,103,356.773107,0.005867,271.426742,3.426777,0.039737,0.005156,2.592944e-16,1.822719e-17
11,104,350.448196,0.005945,254.635610,3.111259,0.019485,0.007314,2.710731e-16,1.677216e-17
12,105,344.223478,0.006155,275.609787,3.841555,0.037113,0.003147,2.495330e-16,1.662386e-17
13,106,337.430969,0.004228,225.923464,1.809155,0.005838,0.001951,5.216728e-16,3.174661e-17
14,107,375.065085,0.004346,252.367753,2.093822,0.004076,0.000306,9.258647e-16,6.789608e-17
15,110,355.930057,0.011144,349.757733,10.833143,0.015991,0.001358,3.897802e-16,2.796766e-17
16,111,349.430114,0.004344,273.061380,2.621838,0.005368,0.000743,6.428827e-16,3.920779e-17
17,108,368.210555,0.002025,304.011209,1.437695,0.014222,0.002326,3.937935e-16,2.484924e-17
18,109,362.348737,0.004717,299.009950,3.291783,0.018834,0.002502,3.598897e-16,2.102186e-17
19,112,343.197150,0.002455,309.245084,1.934837,0.011421,0.000959,3.775388e-16,1.938471e-17
20,113,336.091739,0.007756,193.312048,2.439546,0.004461,0.000563,7.555916e-16,4.810885e-17
21,114,374.586374,0.003200,334.085681,2.699515,0.010745,0.001110,4.991356e-16,3.016119e-17
22,118,348.684809,0.006724,210.206208,2.410079,0.005454,0.000429,6.671087e-16,5.184620e-17
23,115,367.266991,0.005396,258.532010,2.777829,0.015072,0.001834,3.761394e-16,2.426951e-17
24,117,354.986125,0.007267,221.436825,2.839217,0.009366,0.000718,5.001233e-16,3.668959e-17
25,116,361.065774,0.002080,294.450817,1.412773,0.015904,0.002010,3.733592e-16,2.623861e-17
26,119,342.167973,0.004675,253.860542,2.490329,0.009645,0.000960,4.259729e-16,3.123561e-17
27,120,335.234179,0.002506,340.689260,2.453865,0.006608,0.000715,4.767087e-16,3.004716e-17
28,121,373.767990,0.006220,240.043959,2.716972,0.015226,0.002478,5.179555e-16,3.533897e-17
29,122,366.405797,0.001407,290.766770,0.918170,0.019277,0.007035,2.699246e-16,1.855027e-17
30,123,360.228358,0.005838,268.474498,3.304220,0.033544,0.004222,2.756338e-16,1.783098e-17
31,125,347.904928,0.002415,347.059598,2.365070,0.042607,0.001624,2.028395e-16,9.515798e-18
32,124,354.115935,0.002722,385.906384,3.238131,0.026172,0.005220,3.019927e-16,2.109712e-17
33,126,341.404234,0.004655,292.234394,3.293786,0.009203,0.001132,4.880853e-16,3.487731e-17
34,127,334.108908,0.003302,277.712129,2.155990,0.002225,0.000274,9.380443e-16,7.103680e-17
35,128,372.831782,0.002462,356.347217,2.372834,0.019002,0.003826,4.020685e-16,2.751653e-17
36,129,365.809263,0.006173,248.679839,2.952059,0.015313,0.000698,4.119235e-16,2.532306e-17
37,131,353.107168,0.003999,252.502577,2.042464,0.017189,0.002463,4.011574e-16,2.602502e-17
38,130,359.020991,0.001560,322.866851,1.281451,0.018129,0.002830,3.465617e-16,2.538236e-17
39,132,346.858883,0.005477,241.563306,2.606328,0.007588,0.000534,5.582649e-16,4.016595e-17
40,133,340.500035,0.001918,290.995006,1.349197,0.009743,0.001565,5.035800e-16,4.530206e-17
41,134,333.272234,0.005819,263.868402,3.438575,0.003130,0.000186,8.882616e-16,5.858325e-17
42,135,371.667366,0.008681,189.279852,2.370421,0.006491,0.000933,8.115311e-16,5.952731e-17
44,136,364.929233,0.002151,292.747102,1.428890,0.018117,0.001859,3.673431e-16,2.269742e-17
45,137,358.376779,0.005653,253.567763,2.868570,0.013288,0.000780,4.063999e-16,2.419802e-17
46,138,352.245183,0.004046,332.484446,3.591783,0.014949,0.003017,4.261891e-16,2.404266e-17
47,139,346.173423,0.003201,363.160749,3.449256,0.013994,0.002869,4.143225e-16,2.939462e-17
48,140,339.648346,0.006160,286.803396,4.219747,0.007287,0.000582,5.010341e-16,3.603047e-17
49,141,332.267302,0.001074,390.261205,1.392421,0.002664,0.000141,8.031942e-16,5.118571e-17
50,142,370.433438,0.001696,312.301453,1.263342,0.011080,0.001313,4.959020e-16,3.501189e-17
51,143,364.274532,0.005483,292.497876,3.642337,0.032532,0.001494,2.724824e-16,1.627502e-17
52,144,357.512885,0.001851,342.004938,1.712743,0.024210,0.000520,2.865757e-16,1.689044e-17
53,145,351.097387,0.002268,280.090708,1.433252,0.014210,0.002290,4.391259e-16,2.830709e-17
54,146,345.099857,0.002435,283.675299,1.606328,0.010064,0.000843,4.438201e-16,2.176597e-17
55,147,338.589765,0.002585,318.045359,2.184460,0.005511,0.000710,5.478831e-16,3.768738e-17
56,148,331.471728,0.001830,307.352383,1.475178,0.001011,0.000093,1.448409e-15,9.160075e-17
